민지,1,민지,930227-2,파주,blank.png,song@mail.com,010-8958-3351,2020-05-01
송탁,1,송탁,930319-2,서귀포,blank.png,tak@mail.com,010-8958-3351,2020-05-01
charles,1,찰스,850129-1,cal,blank.png,chuck@mail.com,010-8894-9679,2020-05-04
fkj,1,프렌치키위쥬스,840808-1,fr,blank.png,fkj@mail.com,010-4865-2563,2020-07-02
badu,1,에리카 바두,711005-2,ny,blank.png,badu@mail.com,010-3594-1658,2020-03-04
jheneaiko,1,즈네아이코,901209-2,mia,blank.png,aiko@mail.com,010-2654-9679,2020-05-04
rick,1,릭,480123-1,cal,blank.png,rick@mail.com,010-1548-1354,2020-05-04
morty,1,모티,980630-1,cal,blank.png,morty@mail.com,010-1548-1354,2020-05-04
summer,1,썸머,950723-2,cal,blank.png,summer@mail.com,010-5984-1354,2020-05-04
marge,1,마지,790123-2,spf,blank.png,marge@mail.com,010-1238-9578,2020-05-04
lisa,1,리사,200116-2,spf,blank.png,lisa@mail.com,010-4565-9578,2020-05-04
hommer,1,호머,750412-2,spf,blank.png,hommer@mail.com,010-3594-9578,2020-05-04
